n,list-append,list-find,list-remove,bst-append,bst-find,bst-remove,bbst-append,bbst-find,bbst-remove
1000,0.002140,0.004172,0.006260,0.010236,0.013783,0.013206,0.001160,0.000457,0.000477
2000,0.009068,0.015740,0.024173,0.045058,0.056717,0.048106,0.002320,0.000985,0.000980
3000,0.022390,0.035271,0.054680,0.100298,0.135753,0.117043,0.003164,0.001518,0.001487
4000,0.041984,0.061355,0.096828,0.178568,0.250555,0.217643,0.004705,0.002100,0.002043
5000,0.067492,0.095836,0.150339,0.300568,0.408255,0.353873,0.005796,0.002697,0.002581
6000,0.100151,0.137555,0.217072,0.457813,0.599071,0.522193,0.006512,0.003408,0.003230
7000,0.137855,0.187337,0.297218,0.648256,0.831391,0.716812,0.008300,0.003922,0.003621
8000,0.178104,0.245276,0.387720,0.869419,1.083764,0.940399,0.009889,0.004622,0.004432
9000,0.227344,0.310379,0.492160,1.120199,1.389235,1.196901,0.011843,0.005133,0.004682
10000,0.284958,0.398607,0.617707,1.414636,1.743593,1.494861,0.012129,0.005907,0.005265
