length,bubble sort - losowe,quick sort - losowe,merge sort - losowe,heap sort - losowe,shell sort - losowe,counting sort - losowe,c++ sort - losowe,bubble sort - stałe,quick sort - stałe,merge sort - stałe,heap sort - stałe,shell sort - stałe,counting sort - stałe,c++ sort - stałe,bubble sort - rosnące,quick sort - rosnące,merge sort - rosnące,heap sort - rosnące,shell sort - rosnące,counting sort - rosnące,c++ sort - rosnące,bubble sort - malejące,quick sort - malejące,merge sort - malejące,heap sort - malejące,shell sort - malejące,counting sort - malejące,c++ sort - malejące,bubble sort - a-kształtne,quick sort - a-kształtne,merge sort - a-kształtne,heap sort - a-kształtne,shell sort - a-kształtne,counting sort - a-kształtne,c++ sort - a-kształtne,bubble sort - v-kształtne,quick sort - v-kształtne,merge sort - v-kształtne,heap sort - v-kształtne,shell sort - v-kształtne,counting sort - v-kształtne,c++ sort - v-kształtne
1000,0.049209,0.001189,0.002633,0.002338,0.002093,0.000129,0.001577,0.037798,0.000714,0.002012,0.000279,0.000765,0.000129,0.001077,0.037863,0.000700,0.002328,0.002328,0.000761,0.000129,0.000979,0.051757,0.000581,0.002528,0.002073,0.002610,0.000133,0.001030,0.044948,0.002090,0.002297,0.002287,0.001220,0.000129,0.002480,0.043452,0.002066,0.002334,0.002103,0.001216,0.000126,0.002487
2000,0.194554,0.002484,0.005345,0.005148,0.004900,0.000245,0.003490,0.152570,0.001509,0.003911,0.000561,0.001682,0.000245,0.002426,0.151513,0.001206,0.004628,0.005090,0.001679,0.000241,0.002188,0.193385,0.001240,0.004811,0.004645,0.003089,0.000245,0.001831,0.181088,0.046310,0.005182,0.005043,0.002698,0.000245,0.005800,0.172682,0.004879,0.004693,0.004682,0.002688,0.000245,0.005675
3000,0.442265,0.003833,0.008260,0.008182,0.007652,0.000367,0.005294,0.342407,0.002497,0.006347,0.000836,0.002779,0.000364,0.004091,0.340729,0.002029,0.007533,0.008131,0.002779,0.000367,0.003646,0.436475,0.002103,0.007761,0.007346,0.004934,0.000367,0.003004,0.404555,0.102892,0.007601,0.007985,0.004360,0.000370,0.009793,0.387875,0.008043,0.007550,0.007496,0.004370,0.000370,0.008688
4000,0.784764,0.005206,0.010703,0.011933,0.010785,0.000547,0.007091,0.605134,0.003265,0.008284,0.001115,0.003711,0.000571,0.005396,0.607115,0.002610,0.010041,0.012521,0.003721,0.000550,0.004808,0.873902,0.002664,0.010044,0.010207,0.006779,0.000544,0.003976,0.718889,0.182600,0.009337,0.011060,0.005916,0.000544,0.013153,0.689368,0.016589,0.009511,0.010289,0.006456,0.000544,0.012691
5000,1.379168,0.006585,0.013666,0.014499,0.014767,0.000683,0.008892,0.947558,0.004557,0.010449,0.001380,0.005056,0.000680,0.007516,0.946189,0.003435,0.012783,0.014428,0.005059,0.000683,0.007017,1.208460,0.003520,0.012943,0.013130,0.009402,0.000707,0.005399,1.134858,0.284160,0.013211,0.014159,0.007751,0.000680,0.017081,1.084304,0.017071,0.012701,0.014394,0.007778,0.000683,0.015984
6000,1.777882,0.007955,0.017119,0.017720,0.017380,0.000731,0.010996,1.366344,0.005413,0.012222,0.001651,0.006079,0.000917,0.008998,1.365804,0.004910,0.015722,0.017673,0.006075,0.000816,0.007917,1.739268,0.004434,0.015229,0.016059,0.010768,0.000812,0.006429,1.614307,0.408317,0.014930,0.017312,0.009511,0.000816,0.021386,1.554643,0.025753,0.014377,0.018101,0.009738,0.001023,0.022297
7000,2.410801,0.009426,0.019127,0.021210,0.020870,0.001050,0.012820,1.853343,0.006320,0.013955,0.001923,0.007091,0.000951,0.010445,1.855266,0.005729,0.017435,0.021026,0.007088,0.000962,0.009171,2.370777,0.005114,0.018237,0.019198,0.012389,0.000955,0.007441,2.197667,0.553068,0.017159,0.020693,0.011220,0.000951,0.025294,2.110802,0.042185,0.017010,0.019334,0.011295,0.000945,0.024424
8000,3.131317,0.010693,0.021723,0.024428,0.024614,0.001084,0.014645,2.420651,0.007044,0.015729,0.002205,0.008094,0.001098,0.011893,2.421942,0.005532,0.019253,0.024523,0.008101,0.001070,0.010421,3.096557,0.005678,0.019480,0.022304,0.014747,0.001067,0.008488,2.891992,0.723701,0.018981,0.024224,0.012915,0.001094,0.029331,2.758407,0.039287,0.019042,0.022447,0.012997,0.001074,0.028339
9000,3.955640,0.012144,0.023921,0.027856,0.027992,0.001227,0.016609,3.064419,0.008964,0.018006,0.002477,0.009888,0.001227,0.014808,3.069204,0.006344,0.022063,0.027751,0.009888,0.001223,0.011770,3.923000,0.006561,0.022389,0.025433,0.017465,0.001237,0.010313,3.644429,0.908836,0.022086,0.027690,0.015209,0.001264,0.033442,3.496963,0.034771,0.022413,0.025698,0.015236,0.001227,0.031179
10000,4.882553,0.013585,0.027129,0.031325,0.033408,0.001352,0.018515,3.784491,0.009745,0.020051,0.002756,0.010985,0.001349,0.016395,3.785718,0.007275,0.024696,0.031641,0.010992,0.001349,0.014326,4.841754,0.007455,0.025260,0.028641,0.019436,0.001352,0.011420,4.493540,1.122075,0.025032,0.030744,0.016837,0.001471,0.038057,4.308653,0.086032,0.024998,0.038315,0.017007,0.001386,0.035726
11000,5.916877,0.015240,0.029416,0.035280,0.034801,0.001505,0.020398,4.616969,0.010867,0.022042,0.003031,0.012103,0.001505,0.018070,4.574216,0.008203,0.027781,0.036704,0.012107,0.001515,0.015528,5.869836,0.008400,0.028325,0.032073,0.021176,0.001505,0.012498,5.469603,1.363272,0.027476,0.034326,0.018872,0.001509,0.042678,5.230835,0.101849,0.027404,0.032385,0.018872,0.001505,0.040439
12000,7.062615,0.017051,0.031920,0.038424,0.038923,0.001662,0.022566,5.450147,0.011427,0.023632,0.003299,0.013204,0.001645,0.019650,5.462029,0.010432,0.029772,0.039749,0.013208,0.001485,0.016993,7.130831,0.009409,0.030901,0.035134,0.023381,0.001471,0.013643,6.466717,1.624983,0.030082,0.038019,0.020751,0.001634,0.047030,6.219288,0.098764,0.029922,0.035671,0.020768,0.001634,0.043684
13000,8.288404,0.018226,0.034839,0.042076,0.044468,0.001791,0.024455,6.427671,0.012576,0.026215,0.003986,0.014302,0.001641,0.021295,6.504077,0.010058,0.031458,0.041818,0.014302,0.001791,0.018960,8.197942,0.010350,0.032895,0.038801,0.025926,0.001794,0.014805,7.611711,1.870288,0.032763,0.043191,0.023629,0.001818,0.053687,7.298634,0.068064,0.032521,0.038923,0.022487,0.001984,0.049535
14000,9.640311,0.034285,0.038366,0.046239,0.048335,0.002093,0.026463,7.449403,0.013860,0.034207,0.003867,0.015406,0.002076,0.022814,7.431788,0.010646,0.034628,0.045264,0.015406,0.001937,0.019895,9.555876,0.010941,0.035590,0.041743,0.026884,0.001937,0.015953,8.795335,2.211727,0.034662,0.044696,0.024856,0.001950,0.056032,8.460308,0.064520,0.034890,0.041978,0.024451,0.001961,0.054965
15000,11.059220,0.020884,0.039647,0.049277,0.050595,0.002130,0.028240,8.565647,0.014380,0.030041,0.004149,0.016510,0.002093,0.024462,8.615926,0.011288,0.037938,0.049609,0.016701,0.002100,0.021264,11.844039,0.012932,0.039130,0.045987,0.029558,0.002134,0.016932,11.322195,2.584801,0.038114,0.049314,0.026589,0.002232,0.060119,9.974308,0.090500,0.037598,0.047826,0.026820,0.002124,0.059858
