n,ms,mi,lk,li
100,5.779e-06,0.00179604,0.00293396,2.5961e-05
200,5.224e-06,0.014833,0.0194251,7.6399e-05
300,8.751e-06,0.0708908,0.0692888,0.000180965
400,1.2198e-05,0.232507,0.163465,0.000296529
500,1.6271e-05,0.528193,0.326746,0.000446046
600,2.903e-05,0.978354,0.549687,0.000662817
700,2.499e-05,1.64875,0.862163,0.000852281
800,2.8323e-05,2.48195,1.29558,0.00112416
900,3.5768e-05,3.73165,1.82691,0.00142311
1000,5.4385e-05,5.40148,2.54087,0.00173094
1100,7.2343e-05,7.71047,3.37426,0.00208969
1200,3.0001e-05,10.5114,4.43218,0.00252371
1300,8.2234e-05,13.7192,5.61606,0.00295476
1400,8.453e-05,17.3821,6.95345,0.00336944
1500,9.3036e-05,21.4697,8.67331,0.00402853
